airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-03-21,Chennai,Kolkata,11:35:00,2025-02-24 14:00:00,145,0.0,No info,3858
Vistara,2019-06-09,Kolkata,Banglore,17:00:00,2025-02-24 23:25:00,385,1.0,No info,9870
Jet Airways,2019-05-27,Banglore,Delhi,07:10:00,2025-02-24 10:10:00,180,0.0,In-flight meal not included,4030
Air India,2019-04-06,Banglore,Delhi,13:20:00,2025-02-24 16:10:00,170,0.0,No info,5176
Air India,2019-05-27,Banglore,Delhi,17:00:00,2025-02-24 19:45:00,165,0.0,No info,6961
Indigo,2019-05-18,Banglore,Delhi,23:30:00,2025-05-19 02:20:00,170,0.0,No info,4591
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,2025-02-24 22:35:00,850,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,2025-02-24 21:00:00,810,1.0,No info,7740
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,2025-03-22 18:50:00,1465,2.0,No info,12347
Spicejet,2019-05-01,Kolkata,Banglore,15:55:00,2025-02-24 21:25:00,330,1.0,No info,8844
Air India,2019-03-01,Banglore,New Delhi,10:30:00,2025-02-24 22:55:00,745,1.0,No info,11003
Multiple Carriers,2019-03-21,Delhi,Cochin,15:15:00,2025-03-22 01:35:00,620,1.0,No info,7695
Indigo,2019-06-18,Banglore,Delhi,04:00:00,2025-02-24 06:50:00,170,0.0,No info,3943
Air India,2019-05-21,Delhi,Cochin,12:00:00,2025-05-22 07:40:00,1180,2.0,No info,9653
Indigo,2019-05-12,Chennai,Kolkata,19:35:00,2025-02-24 21:55:00,140,0.0,No info,3597
Spicejet,2019-05-24,Chennai,Kolkata,17:45:00,2025-02-24 20:05:00,140,0.0,No info,3597
Indigo,2019-05-21,Delhi,Cochin,10:35:00,2025-05-22 01:30:00,895,1.0,No info,6794
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,2025-05-07 09:45:00,800,1.0,In-flight meal not included,8066
Jet Airways,2019-06-06,Delhi,Cochin,19:30:00,2025-06-07 12:35:00,1025,2.0,In-flight meal not included,11733
Air India,2019-03-06,Mumbai,Hyderabad,09:40:00,2025-02-24 23:45:00,845,2.0,No info,22619
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,2025-05-13 12:00:00,1170,1.0,In-flight meal not included,10844
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,2025-06-04 12:35:00,1010,1.0,No info,14714
Indigo,2019-05-27,Chennai,Kolkata,14:45:00,2025-02-24 17:05:00,140,0.0,No info,3597
Air India,2019-03-27,Delhi,Cochin,10:00:00,2025-02-24 19:15:00,555,1.0,No info,6902
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,2025-02-24 19:00:00,660,1.0,No info,14924
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,2025-05-16 19:50:00,1495,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,2025-05-07 22:05:00,1540,1.0,In-flight meal not included,9314
Air India,2019-04-01,Kolkata,Banglore,07:00:00,2025-04-02 05:25:00,1345,2.0,No info,12849
Air India,2019-03-24,Kolkata,Banglore,19:00:00,2025-03-25 11:05:00,965,1.0,No info,5567
Spicejet,2019-05-21,Mumbai,Hyderabad,13:15:00,2025-02-24 14:45:00,90,0.0,No info,2017
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,2025-02-24 07:15:00,90,0.0,No info,2753
Multiple Carriers,2019-03-09,Delhi,Cochin,08:00:00,2025-02-24 19:45:00,705,1.0,No info,16287
Jet Airways,2019-03-18,Banglore,New Delhi,18:40:00,2025-03-16 00:45:00,365,1.0,No info,54826
Air India,2019-03-03,Delhi,Cochin,09:45:00,2025-03-04 09:25:00,1420,1.0,No info,24017
Air India,2019-04-01,Delhi,Cochin,05:10:00,2025-02-24 08:00:00,170,0.0,No info,4729
Multiple Carriers,2019-05-15,Delhi,Cochin,14:00:00,2025-05-16 01:30:00,690,1.0,No info,13727
Indigo,2019-03-24,Banglore,New Delhi,16:55:00,2025-02-24 19:45:00,170,0.0,No info,7303
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,2025-06-10 21:05:00,1480,1.0,In-flight meal not included,10539
Indigo,2019-05-09,Mumbai,Hyderabad,02:35:00,2025-02-24 04:05:00,90,0.0,No info,2754
Vistara,2019-04-09,Banglore,Delhi,21:00:00,2025-02-24 23:50:00,170,0.0,No info,5403
Air India,2019-04-15,Delhi,Cochin,05:10:00,2025-02-24 08:00:00,170,0.0,No info,6094
Indigo,2019-03-09,Delhi,Cochin,06:40:00,2025-02-24 21:00:00,860,1.0,No info,12351
Multiple Carriers,2019-06-09,Delhi,Cochin,10:20:00,2025-02-24 21:00:00,640,1.0,No info,7005
Multiple Carriers,2019-03-06,Delhi,Cochin,08:55:00,2025-02-24 15:30:00,395,1.0,No info,15147
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,2025-05-19 12:35:00,1355,1.0,In-flight meal not included,12373
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,2025-02-24 22:35:00,850,1.0,In-flight meal not included,7064
Air India,2019-03-03,Banglore,New Delhi,17:00:00,2025-02-24 19:45:00,165,0.0,No info,19508
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,2025-03-07 08:15:00,1455,1.0,No info,17996
Air India,2019-03-03,Delhi,Cochin,05:55:00,2025-03-04 07:40:00,1545,2.0,No info,15428
Indigo,2019-06-03,Banglore,Delhi,18:25:00,2025-02-24 21:20:00,175,0.0,No info,4823
Indigo,2019-06-15,Delhi,Cochin,08:35:00,2025-02-24 22:30:00,835,1.0,No info,6442
Indigo,2019-06-06,Delhi,Cochin,02:00:00,2025-02-24 07:45:00,345,1.0,No info,6386
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,2025-02-24 21:00:00,480,1.0,No info,13587
Jet Airways,2019-06-15,Delhi,Cochin,11:45:00,2025-06-16 04:25:00,1000,2.0,No info,13882
Spicejet,2019-06-09,Kolkata,Banglore,11:35:00,2025-02-24 18:50:00,435,1.0,No info,8479
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,2025-05-25 04:40:00,1330,1.0,In-flight meal not included,8586
Indigo,2019-03-24,Mumbai,Hyderabad,02:30:00,2025-02-24 04:00:00,90,0.0,No info,2754
Indigo,2019-06-01,Kolkata,Banglore,17:15:00,2025-02-24 19:50:00,155,0.0,No info,5224
Multiple Carriers,2019-06-27,Delhi,Cochin,07:05:00,2025-02-24 21:00:00,835,1.0,No info,13587
Vistara,2019-05-03,Banglore,Delhi,11:30:00,2025-02-24 14:20:00,170,0.0,No info,4668
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,2025-05-02 09:20:00,730,1.0,No info,14781
Indigo,2019-04-01,Kolkata,Banglore,14:25:00,2025-02-24 16:55:00,150,0.0,No info,4174
Jet Airways,2019-03-21,Mumbai,Hyderabad,03:05:00,2025-02-24 04:25:00,80,0.0,In-flight meal not included,2759
Indigo,2019-05-09,Kolkata,Banglore,18:05:00,2025-02-24 23:30:00,325,1.0,No info,6218
Multiple Carriers,2019-06-24,Delhi,Cochin,15:15:00,2025-06-25 01:30:00,615,1.0,In-flight meal not included,5797
Multiple Carriers,2019-05-21,Delhi,Cochin,08:30:00,2025-02-24 19:00:00,630,1.0,No info,9627
Indigo,2019-03-09,Delhi,Cochin,17:30:00,2025-03-10 01:35:00,485,1.0,No info,12351
Indigo,2019-05-12,Kolkata,Banglore,22:15:00,2025-05-13 00:50:00,155,0.0,No info,4804
Indigo,2019-03-09,Banglore,New Delhi,04:00:00,2025-02-24 06:50:00,170,0.0,No info,4777
Jet Airways,2019-03-09,Banglore,New Delhi,07:00:00,2025-03-13 09:30:00,1590,1.0,In-flight meal not included,11087
Jet Airways,2019-03-12,Banglore,New Delhi,09:45:00,2025-02-24 16:00:00,375,1.0,No info,12295
Air India,2019-05-01,Banglore,Delhi,10:00:00,2025-02-24 12:45:00,165,0.0,No info,6121
Air India,2019-05-01,Chennai,Kolkata,11:40:00,2025-02-24 13:55:00,135,0.0,No info,4667
Multiple Carriers,2019-05-09,Delhi,Cochin,10:35:00,2025-02-24 19:15:00,520,1.0,No info,7575
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,2025-02-24 23:35:00,425,1.0,No info,14781
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,2025-05-19 04:25:00,335,1.0,No info,15554
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,2025-02-24 19:00:00,910,1.0,No info,10197
Indigo,2019-06-03,Mumbai,Hyderabad,19:05:00,2025-02-24 20:35:00,90,0.0,No info,2754
Air Asia,2019-06-18,Banglore,Delhi,23:55:00,2025-06-19 02:45:00,170,0.0,No info,3383
Jet Airways,2019-05-27,Delhi,Cochin,11:00:00,2025-02-24 14:15:00,195,0.0,No info,9564
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,2025-05-25 08:15:00,735,1.0,No info,13731
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,2025-02-24 23:35:00,425,1.0,In-flight meal not included,9899
Spicejet,2019-03-24,Kolkata,Banglore,15:05:00,2025-02-24 20:45:00,340,1.0,No info,6197
Jet Airways,2019-03-09,Delhi,Cochin,05:40:00,2025-03-10 04:25:00,1365,2.0,In-flight meal not included,13764
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,2025-05-13 08:15:00,735,1.0,No info,13941
Indigo,2019-03-03,Delhi,Cochin,04:55:00,2025-02-24 21:20:00,985,2.0,No info,8899
Air India,2019-06-06,Kolkata,Banglore,16:50:00,2025-06-07 07:55:00,905,1.0,No info,8366
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,2025-02-24 19:00:00,540,1.0,In-flight meal not included,10262
Air India,2019-03-21,Banglore,New Delhi,22:00:00,2025-03-19 13:20:00,920,1.0,No info,6955
Indigo,2019-05-15,Kolkata,Banglore,20:20:00,2025-02-24 22:55:00,155,0.0,No info,4804
Air India,2019-05-15,Delhi,Cochin,13:05:00,2025-05-16 09:25:00,1220,2.0,No info,10975
Jet Airways,2019-05-21,Banglore,Delhi,18:55:00,2025-02-24 22:00:00,185,0.0,No info,7229
Air Asia,2019-03-21,Kolkata,Banglore,22:50:00,2025-03-22 01:20:00,150,0.0,No info,3782
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,2025-03-04 01:35:00,755,1.0,No info,17493
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,2025-05-25 18:50:00,1350,1.0,No info,9345
Indigo,2019-04-24,Banglore,Delhi,22:10:00,2025-04-25 01:00:00,170,0.0,No info,3625
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,2025-04-02 18:50:00,1550,1.0,No info,8610
Indigo,2019-03-15,Banglore,New Delhi,16:15:00,2025-02-24 20:35:00,260,1.0,No info,5607
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,2025-06-16 04:25:00,1125,2.0,In-flight meal not included,10368
Air India,2019-05-21,Banglore,Delhi,21:05:00,2025-02-24 23:55:00,170,0.0,No info,5228
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,2025-02-24 23:35:00,425,1.0,In-flight meal not included,11841
Indigo,2019-06-18,Chennai,Kolkata,05:15:00,2025-02-24 07:40:00,145,0.0,No info,3540
Air India,2019-03-03,Banglore,New Delhi,00:30:00,2025-02-24 23:55:00,1405,1.0,No info,10394
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,2025-02-24 16:20:00,590,1.0,No info,14781
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,2025-02-24 22:55:00,435,1.0,No info,12395
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,2025-05-02 09:45:00,1450,1.0,No info,11467
Air India,2019-05-15,Kolkata,Banglore,16:50:00,2025-05-16 13:45:00,1255,2.0,No info,15532
Air India,2019-05-15,Delhi,Cochin,13:20:00,2025-05-16 07:40:00,1100,2.0,No info,13538
Spicejet,2019-06-12,Kolkata,Banglore,11:35:00,2025-02-24 18:50:00,435,1.0,No info,8479
Air India,2019-05-12,Kolkata,Banglore,16:45:00,2025-05-13 16:15:00,1410,2.0,No info,13437
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,2025-03-02 09:00:00,965,1.0,1 Long layover,25735
Jet Airways,2019-05-01,Kolkata,Banglore,16:30:00,2025-05-02 12:00:00,1170,1.0,In-flight meal not included,9663
Air India,2019-06-03,Delhi,Cochin,19:00:00,2025-06-04 07:40:00,760,1.0,No info,8372
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,2025-02-24 21:00:00,720,1.0,No info,15078
Air India,2019-05-09,Delhi,Cochin,05:00:00,2025-05-10 19:15:00,2295,2.0,No info,10441
Jet Airways,2019-04-06,Delhi,Cochin,13:00:00,2025-02-24 19:00:00,360,1.0,In-flight meal not included,5177
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,2025-05-16 10:05:00,910,1.0,In-flight meal not included,9663
Spicejet,2019-05-01,Chennai,Kolkata,09:45:00,2025-02-24 12:00:00,135,0.0,No info,3597
Air India,2019-05-21,Delhi,Cochin,12:30:00,2025-05-22 09:25:00,1255,1.0,No info,7480
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,2025-05-10 10:05:00,910,1.0,In-flight meal not included,8586
Air India,2019-06-01,Kolkata,Banglore,20:45:00,2025-02-24 23:20:00,155,0.0,No info,4145
Goair,2019-05-01,Delhi,Cochin,07:25:00,2025-02-24 13:35:00,370,1.0,No info,5842
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,2025-05-22 04:25:00,1280,1.0,In-flight meal not included,12898
Jet Airways,2019-05-15,Delhi,Cochin,02:15:00,2025-02-24 12:35:00,620,1.0,In-flight meal not included,12373
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,2025-05-13 18:50:00,1550,1.0,No info,9135
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,2025-02-24 20:45:00,740,1.0,No info,14571
Indigo,2019-06-03,Delhi,Cochin,15:00:00,2025-06-04 01:30:00,630,1.0,No info,6104
Indigo,2019-06-06,Mumbai,Hyderabad,12:00:00,2025-02-24 13:30:00,90,0.0,No info,2754
Spicejet,2019-05-21,Banglore,Delhi,21:10:00,2025-05-22 00:05:00,175,0.0,No check-in baggage included,3573
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,2025-05-07 23:35:00,1630,1.0,No info,10953
Air India,2019-04-24,Banglore,Delhi,10:00:00,2025-02-24 12:45:00,165,0.0,No info,6121
Jet Airways,2019-03-06,Banglore,New Delhi,19:55:00,2025-02-24 22:35:00,160,0.0,No info,18308
Multiple Carriers,2019-05-27,Delhi,Cochin,10:35:00,2025-02-24 19:15:00,520,1.0,No info,8625
Jet Airways,2019-06-03,Delhi,Cochin,11:00:00,2025-02-24 14:15:00,195,0.0,In-flight meal not included,7202
Spicejet,2019-05-12,Chennai,Kolkata,08:20:00,2025-02-24 10:35:00,135,0.0,No info,3597
Air India,2019-05-09,Kolkata,Banglore,16:45:00,2025-05-10 21:05:00,1700,1.0,No info,7662
Indigo,2019-05-09,Delhi,Cochin,11:25:00,2025-05-10 01:30:00,845,1.0,No info,8330
Indigo,2019-06-01,Banglore,Delhi,10:10:00,2025-02-24 13:00:00,170,0.0,No info,3943
Jet Airways,2019-04-06,Banglore,Delhi,19:50:00,2025-02-24 22:50:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,2025-06-13 10:05:00,1540,1.0,In-flight meal not included,8529
Spicejet,2019-06-21,Kolkata,Banglore,06:55:00,2025-02-24 09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,2025-05-02 14:25:00,1285,1.0,No info,11467
Spicejet,2019-03-03,Kolkata,Banglore,17:15:00,2025-02-24 19:45:00,150,0.0,No info,6251
Jet Airways,2019-05-27,Delhi,Cochin,17:30:00,2025-05-28 12:35:00,1145,1.0,In-flight meal not included,12898
Multiple Carriers,2019-03-09,Delhi,Cochin,19:00:00,2025-03-10 01:35:00,395,1.0,No info,13677
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,2025-04-02 04:40:00,450,1.0,In-flight meal not included,8849
Indigo,2019-03-24,Kolkata,Banglore,17:15:00,2025-02-24 20:00:00,165,0.0,No info,6565
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,2025-02-24 23:35:00,570,1.0,No info,14781
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,2025-06-10 22:35:00,1525,1.0,In-flight meal not included,10844
Multiple Carriers,2019-03-27,Delhi,Cochin,10:00:00,2025-02-24 18:50:00,530,1.0,No info,11667
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,2025-05-25 09:20:00,730,1.0,In-flight meal not included,9663
Air India,2019-06-03,Delhi,Cochin,22:00:00,2025-06-04 19:15:00,1275,2.0,No info,10231
Indigo,2019-03-27,Chennai,Kolkata,19:35:00,2025-02-24 21:55:00,140,0.0,No info,3858
Air India,2019-06-09,Kolkata,Banglore,16:45:00,2025-06-10 21:05:00,1700,1.0,No info,7662
Spicejet,2019-05-12,Mumbai,Hyderabad,22:45:00,2025-05-13 00:15:00,90,0.0,No info,2017
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,2025-02-24 21:20:00,695,2.0,No info,10444
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,2025-02-24 23:25:00,385,1.0,No info,9870
Jet Airways,2019-04-03,Mumbai,Hyderabad,19:35:00,2025-02-24 21:05:00,90,0.0,No info,5678
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,2025-06-07 14:25:00,1285,1.0,In-flight meal not included,10539
Spicejet,2019-05-15,Mumbai,Hyderabad,22:45:00,2025-05-16 00:15:00,90,0.0,No info,2017
Indigo,2019-05-15,Delhi,Cochin,06:50:00,2025-02-24 16:10:00,560,1.0,No info,6442
Jet Airways,2019-06-12,Delhi,Cochin,11:30:00,2025-06-13 12:35:00,1505,1.0,In-flight meal not included,10262
Indigo,2019-06-06,Chennai,Kolkata,22:05:00,2025-06-07 00:25:00,140,0.0,No info,5277
Vistara,2019-05-24,Banglore,Delhi,11:30:00,2025-02-24 14:20:00,170,0.0,No info,4668
Air Asia,2019-05-27,Banglore,Delhi,11:10:00,2025-02-24 13:55:00,165,0.0,No info,3383
Indigo,2019-03-03,Kolkata,Banglore,05:30:00,2025-02-24 08:20:00,170,0.0,No info,4778
Air India,2019-05-15,Delhi,Cochin,07:00:00,2025-02-24 19:15:00,735,1.0,No info,8669
Air Asia,2019-05-01,Kolkata,Banglore,22:50:00,2025-05-02 01:20:00,150,0.0,No info,4409
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,2025-05-02 18:00:00,1500,1.0,In-flight meal not included,9314
Air Asia,2019-05-15,Delhi,Cochin,07:55:00,2025-02-24 13:25:00,330,1.0,No info,6451
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,2025-05-16 01:30:00,835,3.0,No info,16294
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,2025-02-24 19:00:00,600,1.0,No info,14714
Air Asia,2019-05-18,Kolkata,Banglore,19:55:00,2025-02-24 22:25:00,150,0.0,No info,5989
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,2025-02-24 19:00:00,810,2.0,No info,13014
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,2025-06-13 09:45:00,800,1.0,In-flight meal not included,10539
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,2025-05-10 09:05:00,965,1.0,No info,9187
Jet Airways,2019-05-24,Kolkata,Banglore,10:20:00,2025-02-24 17:35:00,435,1.0,In-flight meal not included,6287
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,2025-02-24 21:00:00,835,1.0,In-flight meal not included,9930
Indigo,2019-03-03,Delhi,Cochin,18:35:00,2025-03-04 01:35:00,420,1.0,No info,14871
Spicejet,2019-05-09,Chennai,Kolkata,09:45:00,2025-02-24 12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-03-21,Delhi,Cochin,20:50:00,2025-03-22 04:25:00,455,1.0,In-flight meal not included,9212
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,2025-03-25 01:10:00,170,0.0,No info,7303
Multiple Carriers,2019-03-21,Delhi,Cochin,11:30:00,2025-02-24 18:50:00,440,1.0,No info,11622
Multiple Carriers,2019-05-15,Delhi,Cochin,09:00:00,2025-02-24 21:00:00,720,1.0,No info,13727
Jet Airways,2019-05-21,Kolkata,Banglore,10:20:00,2025-02-24 17:35:00,435,1.0,In-flight meal not included,5608
Multiple Carriers,2019-05-15,Delhi,Cochin,09:00:00,2025-02-24 21:00:00,720,1.0,No info,8073
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,2025-02-24 21:00:00,480,1.0,No info,8073
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,2025-06-07 19:00:00,1325,1.0,No info,14714
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,2025-02-24 23:35:00,840,1.0,No info,14151
Indigo,2019-04-12,Kolkata,Banglore,09:35:00,2025-02-24 12:20:00,165,0.0,No info,4174
Multiple Carriers,2019-06-06,Delhi,Cochin,07:30:00,2025-02-24 19:15:00,705,1.0,No info,9001
Multiple Carriers,2019-06-12,Delhi,Cochin,09:45:00,2025-02-24 16:10:00,385,1.0,No info,9646
Air India,2019-06-27,Delhi,Cochin,19:45:00,2025-06-28 19:15:00,1410,2.0,No info,9653
Jet Airways,2019-03-09,Delhi,Cochin,19:15:00,2025-03-10 04:25:00,550,1.0,No info,16289
Jet Airways,2019-03-21,Delhi,Cochin,11:30:00,2025-03-22 04:25:00,1015,1.0,In-flight meal not included,7438
Indigo,2019-03-09,Delhi,Cochin,04:45:00,2025-02-24 12:55:00,490,1.0,No info,16162
Multiple Carriers,2019-06-01,Delhi,Cochin,11:30:00,2025-02-24 21:00:00,570,1.0,No info,13587
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,2025-02-24 11:20:00,315,1.0,No info,5583
Multiple Carriers,2019-06-15,Delhi,Cochin,09:00:00,2025-02-24 21:00:00,720,1.0,No info,7933
Multiple Carriers,2019-06-06,Delhi,Cochin,07:30:00,2025-02-24 21:00:00,810,1.0,No info,7740
Vistara,2019-04-27,Delhi,Cochin,06:00:00,2025-02-24 09:10:00,190,0.0,No info,6216
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,2025-02-24 23:25:00,390,1.0,In-flight meal not included,11134
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,2025-02-24 22:00:00,185,0.0,In-flight meal not included,5769
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,2025-03-07 21:20:00,1350,1.0,No info,17471
Multiple Carriers,2019-05-15,Delhi,Cochin,08:00:00,2025-02-24 19:15:00,675,1.0,No info,14533
Spicejet,2019-03-15,Banglore,New Delhi,10:20:00,2025-02-24 18:15:00,475,1.0,No info,10341
Indigo,2019-03-18,Banglore,New Delhi,12:10:00,2025-02-24 17:05:00,295,1.0,No info,4410
Indigo,2019-03-09,Mumbai,Hyderabad,21:20:00,2025-02-24 22:45:00,85,0.0,No info,3838
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,2025-05-19 04:40:00,730,1.0,No info,13941
Jet Airways,2019-06-01,Delhi,Cochin,14:00:00,2025-06-02 04:25:00,865,1.0,In-flight meal not included,10262
Air India,2019-03-01,Banglore,New Delhi,05:50:00,2025-02-24 16:20:00,630,2.0,Change airports,15119
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,2025-06-07 14:25:00,1730,1.0,No info,12692
Spicejet,2019-06-18,Chennai,Kolkata,17:45:00,2025-02-24 20:05:00,140,0.0,No check-in baggage included,3543
Multiple Carriers,2019-06-06,Delhi,Cochin,08:45:00,2025-02-24 19:00:00,615,1.0,No info,12524
Jet Airways,2019-05-09,Banglore,Delhi,15:15:00,2025-02-24 18:10:00,175,0.0,No info,7229
Goair,2019-04-03,Banglore,Delhi,07:45:00,2025-02-24 10:40:00,175,0.0,No info,4239
Multiple Carriers,2019-06-27,Delhi,Cochin,13:15:00,2025-02-24 22:30:00,555,1.0,No info,8018
Multiple Carriers,2019-03-27,Delhi,Cochin,10:20:00,2025-02-24 18:50:00,510,1.0,No info,11421
Air India,2019-03-09,Banglore,New Delhi,17:00:00,2025-03-13 03:40:00,640,1.0,No info,8767
Indigo,2019-04-24,Kolkata,Banglore,15:30:00,2025-02-24 18:05:00,155,0.0,No info,4804
Air Asia,2019-06-06,Delhi,Cochin,16:45:00,2025-02-24 22:25:00,340,1.0,No info,11410
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,2025-05-10 18:15:00,1690,1.0,In-flight meal not included,7757
Jet Airways,2019-06-18,Banglore,Delhi,06:00:00,2025-02-24 08:45:00,165,0.0,No info,8016
Multiple Carriers,2019-03-03,Delhi,Cochin,02:15:00,2025-02-24 13:20:00,665,1.0,No info,17057
Air India,2019-03-15,Banglore,New Delhi,09:30:00,2025-02-24 16:20:00,410,1.0,No info,8714
Indigo,2019-03-21,Banglore,New Delhi,06:00:00,2025-02-24 08:45:00,165,0.0,No info,5734
Air India,2019-03-24,Delhi,Cochin,04:00:00,2025-03-25 07:40:00,1660,1.0,No info,8635
Indigo,2019-05-24,Banglore,Delhi,20:00:00,2025-02-24 22:50:00,170,0.0,No info,4823
Indigo,2019-03-24,Kolkata,Banglore,10:10:00,2025-02-24 12:55:00,165,0.0,No info,6565
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,2025-02-24 21:20:00,855,2.0,No info,7084
Jet Airways,2019-04-06,Banglore,Delhi,17:45:00,2025-02-24 20:45:00,180,0.0,No info,7229
Indigo,2019-06-01,Mumbai,Hyderabad,21:20:00,2025-02-24 22:50:00,90,0.0,No info,2227
Spicejet,2019-05-03,Mumbai,Hyderabad,05:45:00,2025-02-24 07:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-03-06,Delhi,Cochin,17:15:00,2025-03-07 09:25:00,970,2.0,No info,9417
Air Asia,2019-04-21,Banglore,Delhi,11:10:00,2025-02-24 13:55:00,165,0.0,No info,4483
Goair,2019-03-24,Kolkata,Banglore,06:35:00,2025-02-24 14:25:00,470,1.0,No info,4773
Spicejet,2019-04-24,Kolkata,Banglore,06:55:00,2025-02-24 09:30:00,155,0.0,No info,3873
Indigo,2019-04-27,Banglore,Delhi,20:00:00,2025-02-24 22:50:00,170,0.0,No info,4823
Multiple Carriers,2019-03-27,Delhi,Cochin,13:05:00,2025-02-24 22:20:00,555,1.0,No info,6076
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,2025-05-22 12:35:00,810,2.0,No info,15129
Multiple Carriers,2019-04-24,Delhi,Cochin,07:10:00,2025-02-24 16:10:00,540,1.0,In-flight meal not included,6093
Jet Airways,2019-06-06,Kolkata,Banglore,16:30:00,2025-02-24 23:35:00,425,1.0,No info,14571
Goair,2019-03-24,Kolkata,Banglore,22:25:00,2025-03-25 07:40:00,555,1.0,No info,10091
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,2025-02-24 23:25:00,1015,1.0,In-flight meal not included,8824
Indigo,2019-05-12,Kolkata,Banglore,18:05:00,2025-02-24 23:30:00,325,1.0,No info,6218
Goair,2019-04-24,Delhi,Cochin,07:00:00,2025-02-24 12:55:00,355,1.0,No info,6195
Air India,2019-05-01,Kolkata,Banglore,16:50:00,2025-05-02 13:45:00,1255,2.0,No info,16372
